entry_type,citation_key,author,booktitle,editor,journal,note,number,organization,pages,publisher,title,url,volume,year
article,weidinger2023sociotechnical,"Weidinger, Laura and Rauh, Maribeth and Marchal, Nahema and Manzini, Arianna and Hendricks, Lisa Anne and Mateos-Garcia, Juan and Bergman, Stevie and Kay, Jackie and Griffin, Conor and Bariach, Ben and others",,,arXiv preprint arXiv:2310.11986,,,,,,{Sociotechnical Safety Evaluation of Generative AI Systems},https://arxiv.org/pdf/2310.11986,,2023
article,wallach2024evaluating,"Wallach, Hanna M. and Desai, Meera A. and Pangakis, Nicholas and Cooper, A. Feder and Wang, Angelina and Barocas, Solon and Chouldechova, Alexandra and Atalla, Chad and Blodgett, Su Lin and Corvi, Emily and others",,,CoRR,,,,,,{Evaluating Generative AI Systems is a Social Science Measurement Challenge},https://arxiv.org/pdf/2411.10939v1,,2024
article,schwartz2024assessing,"Schwartz, Reva and Waters, Gabriella and Amironesei, Razvan and Greenberg, Craig and Fiscus, Jon and Hall, Patrick and Jones, Anya and Jain, Shomik and Godil, Afzal and Greene, Kristen and others",,,,,,,,,{The Assessing Risks and Impacts of AI (ARIA) Program Evaluation Design Document},https://ai-challenges.nist.gov/aria/docs/ARIA_Program_Companion_Document_Dec20.pdf,,2024
book,laudon2004management,"Laudon, Kenneth C. and Laudon, Jane Price",,,,,,,,Pearson Education,{Management Information Systems: Managing the Digital Firm},,,2004
article,walker2008review,"Walker, Guy H. and Stanton, Neville A. and Salmon, Paul M. and Jenkins, Daniel P.",,,Theoretical issues in ergonomics science,,6,,479--499,Taylor \& Francis,A review of sociotechnical systems theory: a classic concept for new command and control paradigms,,9,2008
inproceedings,raji2021ai,"Raji, Deborah and Denton, Emily and Bender, Emily M. and Hanna, Alex and Paullada, Amandalynne",Proceedings of the Neural Information Processing Systems Track on Datasets and Benchmarks,J. Vanschoren and S. Yeung,,,,,,,{AI and the Everything in the Whole Wide World Benchmark},https://datasets-benchmarks-proceedings.neurips.cc/paper_files/paper/2021/file/084b6fbb10729ed4da8c3d3f5a3ae7c9-Paper-round2.pdf,1,2021
article,ai2023artificial,NIST,,,NIST AI Risk Management Framework,,,,,,"{AI 100-1, AI RMF 1.0}",https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf,,2023
misc,ISO/IECTS5723:2022,ISO,,,ISO/IEC TS 5723:2022,,,,,,{Trustworthiness — Vocabulary},https://www.iso.org/standard/81608.html,,2022
inproceedings,kantorovich1957mathematical,"Kantorovich, Leonid Vitalevich",Dokl. Akad. Nauk SSSR,,,,4,,738--741,,On a mathematical symbolism convenient for performing machine calculations,,113,1957
article,bauer1974computational,"Bauer, Friedrich L",,,SIAM Journal on Numerical Analysis,,1,,87--96,SIAM,Computational graphs and rounding error,,11,1974
misc,HELM,CFRFM,,,\url{https://crfm.stanford.edu/helm/classic/latest/#/leaderboard},Accessed: 2025-07-14,,,,,{A Holistic Framework for Evaluating Foundation Models - Leaderboard: Core scenarios},,,2025
article,liang2022holistic,"Liang, Percy and Bommasani, Rishi and Lee, Tony and Tsipras, Dimitris and Soylu, Dilara and Yasunaga, Michihiro and Zhang, Yian and Narayanan, Deepak and Wu, Yuhuai and Kumar, Ananya and others",,,Trans. Mach. Learn. Res.,,,,,,{Holistic Evaluation of Language Models},,,2023
article,hernandez2017evaluation,"Hern{\'a}ndez-Orallo, Jos{\'e}",,,Artificial Intelligence Review,,3,,397--447,Springer,Evaluation in artificial intelligence: from task-oriented to ability-oriented measurement,,48,2017
article,schwartz2025reality,"Schwartz, Reva and Chowdhury, Rumman and Kundu, Akash and Frase, Heather and Fadaee, Marzieh and David, Tom and Waters, Gabriella and Taik, Afaf and Briggs, Morgan and Hall, Patrick and others",,,arXiv preprint arXiv:2505.18893,,,,,,{\textbf{Reality Check}: A New Evaluation Ecosystem Is Necessary to Understand AI's Real World Effects},,,2025
book,bhattacherjee2019social,"Bhattacherjee, Anol and Toleman, Mark and Rowling, Samara and Frederiks, Anita and Andersen, Nikki",,,,,,,,University of Southern Queensland,"{Social Science Research: Principles, Methods and Practices}",,,2019
article,thomas2022reliance,"Thomas, Rachel L and Uminsky, David",,,Patterns,,5,,,Elsevier,{Reliance on metrics is a fundamental challenge for AI},,3,2022
incollection,goodhart1984problems,"Goodhart, Charles AE",Monetary theory and practice: The UK experience,,,,,,91--121,Springer,{Problems of monetary management: the UK experience},,,1984
inproceedings,li2024task,"Li, Changmao and Flanigan, Jeffrey",Proceedings of the AAAI Conference on Artificial Intelligence,,,,16,,18471--18480,,{Task contamination: Language models may not be few-shot anymore},,38,2024
inproceedings,balloccu2024leak,"Balloccu, Simone and Schmidtov{\'a}, Patr{\'\i}cia and Lango, Mateusz and Du{\v{s}}ek, Ond{\v{r}}ej",Proceedings of the 18th Conference of the European Chapter of the Association for Computational Linguistics (Volume 1: Long Papers),,,,,,67--93,,"{Leak, Cheat, Repeat: Data Contamination and Evaluation Malpractices in Closed-Source LLMs}",,,2024
misc,ordinarypeople,"Maese, Ellyn",,,Gallup Social & Policy Issues Blog,,,,,,{Americans Use AI in Everyday Products Without Realizing It},https://news.gallup.com/poll/654905/americans-everyday-products-without-realizing.aspx,,2025
article,chang2024survey,"Chang, Yupeng and Wang, Xu and Wang, Jindong and Wu, Yuan and Yang, Linyi and Zhu, Kaijie and Chen, Hao and Yi, Xiaoyuan and Wang, Cunxiang and Wang, Yidong and others",,,ACM transactions on intelligent systems and technology,,3,,1--45,"ACM New York, NY",{A survey on evaluation of large language models},,15,2024
inproceedings,deng2009imagenet,"Deng, Jia and Dong, Wei and Socher, Richard and Li, Li-Jia and Li, Kai and Fei-Fei, Li",2009 IEEE conference on computer vision and pattern recognition,,,,,IEEE,248--255,,{Imagenet: A large-scale hierarchical image database},,,2009
misc,yann1998mnist,"Yann, LeCun",,,http://yann.lecun.com/exdb/mnist,,,,,,{The MNIST database of handwritten digits},,,1998
