entry_type,citation_key,address,author,booktitle,editor,howpublished,journal,note,number,organization,pages,publisher,title,volume,year
article,please_stop,,"Rudin, Cynthia",,,,arXiv preprint arXiv:1811.10154,URL: \url{https://arxiv.org/pdf/1811.10154.pdf},,,,,Please {S}top {E}xplaining {B}lack {B}ox {M}odels for {H}igh {S}takes {D}ecisions and {U}se {I}nterpretable {M}odels {I}nstead,,2018
inproceedings,feldman2015certifying,,"Feldman, Michael and Friedler, Sorelle A. and Moeller, John and Scheidegger, Carlos and Venkatasubramanian, Suresh",Proceedings of the 21\textsuperscript{st} ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,URL: \url{https://arxiv.org/pdf/1412.3756.pdf},,ACM,259--268,,Certifying and {R}emoving {D}isparate {I}mpact,,2015
inproceedings,dwork2012fairness,,"Dwork, Cynthia and Hardt, Moritz and Pitassi, Toniann and Reingold, Omer and Zemel, Richard",Proceedings of the 3rd Innovations in Theoretical Computer Science Conference,,,,URL: \url{https://arxiv.org/pdf/1104.3913.pdf},,ACM,214--226,,Fairness {T}hrough {A}wareness,,2012
inproceedings,gender_shades,,"Buolamwini, Joy and Gebru, Timnit","Conference on Fairness, Accountability and Transparency",,,,URL: \url{http://proceedings.mlr.press/v81/buolamwini18a/buolamwini18a.pdf},,,77--91,,Gender {S}hades: {I}ntersectional {A}ccuracy {D}isparities in {C}ommercial {G}ender {C}lassification,,2018
article,security_of_ml,,"Barreno, Marco and Nelson, Blaine and Joseph, Anthony D. and Tygar, J.D.",,,,Machine Learning,URL: \url{http://people.ischool.berkeley.edu/~tygar/papers/SML/sec_mach_learn_journal.pdf},2,,121--148,Springer,The {S}ecurity of {M}achine {L}earning,81,2010
inproceedings,model_stealing,,"Tram{\`e}r, Florian and Zhang, Fan and Juels, Ari and Reiter, Michael K. and Ristenpart, Thomas",25th $\{$USENIX$\}$ Security Symposium ($\{$USENIX$\}$ Security 16),,,,URL: \url{https://www.usenix.org/system/files/conference/usenixsecurity16/sec16_paper_tramer.pdf},,,601--618,,Stealing {M}achine {L}earning {M}odels via {P}rediction {A}{P}{I}s,,2016
inproceedings,membership_inference,,"Shokri, Reza and Stronati, Marco and Song, Congzheng and Shmatikov, Vitaly",2017 IEEE Symposium on Security and Privacy (SP),,,,URL: \url{https://arxiv.org/pdf/1610.05820.pdf},,IEEE,3--18,,Membership {I}nference {A}ttacks {A}gainst {M}achine {L}earning {M}odels,,2017
article,shokri2019privacy,,"Shokri, Reza and Strobel, Martin and Zick, Yair",,,,arXiv preprint arXiv:1907.00164,URL: \url{https://arxiv.org/pdf/1907.00164.pdf},,,,,Privacy {R}isks of {E}xplaining {M}achine {L}earning {M}odels,,2019
book,ff_interpretability,,"Williams, Mike and others",,,,,URL: \url{https://www.cloudera.com/products/fast-forward-labs-research.html},,,,Fast Forward Labs,Interpretability,,2017
incollection,friedman1979tree,,"Friedman, Jerome H.",Smoothing Techniques for Curve Estimation,,,,URL: \url{http://inspirehep.net/record/140963/files/slac-pub-2336.pdf},,,5--22,Springer,A {T}ree-structured {A}pproach to {N}onparametric {M}ultiple {R}egression,,1979
article,friedman1991multivariate,,"Friedman, Jerome H. and others",,,,The Annals of Statistics,URL: \url{https://projecteuclid.org/download/pdf_1/euclid.aos/1176347963},1,,1--67,Institute of Mathematical Statistics,Multivariate {A}daptive {R}egression {S}plines,19,1991
misc,hmda,,,,,\url{https://www.consumerfinance.gov/data-research/hmda/},,Accessed: 2020-02-24,,,,,Mortgage data ({H}{M}{D}{A}),,
article,friedman2001greedy,,"Friedman, Jerome H.",,,,The Annals of Statistics,URL: \url{https://projecteuclid.org/download/pdf_1/euclid.aos/1013203451},,,1189--1232,JSTOR,Greedy {F}unction {A}pproximation: a {G}radient {B}oosting {M}achine,,2001
book,esl,New York,Jerome H. Friedman and Trevor Hastie and Robert Tibshirani,\textit{The Elements of Statistical Learning},,,,URL: \url{https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII\_print12.pdf},,,,Springer,\textbf{The Elements of Statistical Learning},,2001
inproceedings,recht2011hogwild,,"Recht, Benjamin and Re, Christopher and Wright, Stephen and Niu, Feng",Advances in Neural Information Processing Systems (NIPS),,,,URL: \url{https://papers.nips.cc/paper/4390-hogwild-a-lock-free-approach-to-parallelizing-stochastic-gradient-descent.pdf},,,693--701,,{H}{O}{G}{W}{I}{L}{D}: {A} {L}ock-free {A}pproach to {P}arallelizing {S}tochastic {G}radient {D}escent,,2011
article,hinton2012improving,,"Hinton, Geoffrey E. and Srivastava, Nitish and Krizhevsky, Alex and Sutskever, Ilya and Salakhutdinov, Ruslan R.",,,,arXiv preprint arXiv:1207.0580,URL: \url{https://arxiv.org/pdf/1207.0580.pdf},,,,,Improving {N}eural {N}etworks by {P}reventing {C}o-adaptation of {F}eature {D}etectors,,2012
inproceedings,sutskever2013importance,,"Sutskever, Ilya and Martens, James and Dahl, George and Hinton, Geoffrey",International Conference on Machine Learning,,,,URL: \url{http://proceedings.mlr.press/v28/sutskever13.pdf},,,1139--1147,,On the {I}mportance of {I}nitialization and {M}omentum in {D}eep {L}earning,,2013
article,zeiler2012adadelta,,"Zeiler, Matthew D.",,,,arXiv preprint arXiv:1212.5701,URL: \url{https://arxiv.org/pdf/1212.5701.pdf},,,,,{A}{D}{A}{D}{E}{L}{T}{A}: {A}n {A}daptive {L}earning {R}ate {M}ethod,,2012
article,fair_washing,,"A{\""\i}vodji, Ulrich and Arai, Hiromi and Fortineau, Olivier and Gambs, S{\'e}bastien and Hara, Satoshi and Tapp, Alain",,,,arXiv preprint arXiv:1901.09749,URL: \url{https://arxiv.org/pdf/1901.09749.pdf},,,,,Fairwashing: {T}he {R}isk of {R}ationalization,,2019
article,scaffolding,,Dylan Slack and Sophie Hilgard and Emily Jia and Sameer Singh and Himabindu Lakkaraju,,,,arXiv preprint arXiv:1911.02508,URL: \url{https://arxiv.org/pdf/1911.02508.pdf},,,,,{F}ooling {L}{I}{M}{E} and {S}{H}{A}{P}: {A}dversarial {A}ttacks on {P}ost-hoc {E}xplanation {M}ethods,,2019
article,wf_xnn,,"Vaughan, Joel and Sudjianto, Agus and Brahimi, Erind and Chen, Jie and Nair, Vijayan N.",,,,arXiv preprint arXiv:1806.01933,URL: \url{https://arxiv.org/pdf/1806.01933.pdf},,,,,Explainable {N}eural {N}etworks {B}ased on {A}dditive {I}ndex {M}odels,,2018
article,yang2019enhancing,,"Yang, Zebin and Zhang, Aijun and Sudjianto, Agus",,,,arXiv preprint arXiv:1901.03838,URL: \url{https://arxiv.org/pdf/1901.03838.pdf},,,,,Enhancing {E}xplainability of {N}eural {N}etworks {T}hrough {A}rchitecture {C}onstraints,,2019
article,ice_plots,,Alex Goldstein and Adam Kapelner and Justin Bleich and Emil Pitkin,,,,Journal of Computational and Graphical Statistics,URL: \url{https://arxiv.org/pdf/1309.6392.pdf},1,,,,Peeking {I}nside the {B}lack {B}ox: {V}isualizing {S}tatistical {L}earning with {P}lots of {I}ndividual {C}onditional {E}xpectation,24,2015
incollection,shapley,,"Lundberg, Scott M. and Lee, Su-In",Advances in Neural Information Processing Systems (NIPS),I. Guyon and U. V. Luxburg and S. Bengio and H. Wallach and R. Fergus and S. Vishwanathan and R. Garnett,,,URL: \url{http://papers.nips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions.pdf},,,4765--4774,"Curran Associates, Inc.",A {U}nified {A}pproach to {I}nterpreting {M}odel {P}redictions,,2017
incollection,tree_shap,,"Lundberg, Scott M. and Erion, Gabriel G. and Lee, Su-In",Proceedings of the 2017 ICML Workshop on Human Interpretability in Machine Learning (WHI 2017),Been Kim and Dmitry M. Malioutov and Kush R. Varshney and Adrian Weller,,,URL: \url{https://openreview.net/pdf?id=ByTKSo-m-},,ICML,15--21,ICML WHI 2017,Consistent {I}ndividualized {F}eature {A}ttribution for {T}ree {E}nsembles,,2017
