abstract,abstractnote,address,annote,archiveprefix,articleno,author,author1_email,author1_url,author2_email,author2_url,bdsk-url-1,booktitle,chapter,citation_key,collection,contact,copyright,date,day,doi,edition,editor,entry_type,eprint,file,howpublished,institution,isbn,issn,issue,issue_date,journal,keywords,language,lccn,location,month,note,number,numpages,organization,pages,pmcid,pmid,primaryclass,publisher,rights,school,series,shorttitle,title,type,url,urldate,volume,year
Deskill may occur due to reliance on artificial intelligence (AI) technologies.,,,,,,,,,,,,,,NHS_AI_deskilling,,,,,,,,,misc,,,,,,,,,"NHS England {\textbar} Workforce, training and education {\textbar} Digital Transformation",,en,,,,,,,,,,,,,,,,,"4.3 {The} risk of deskilling {\textbar} {Workforce}, training and education {\textbar} {NHS} {England}",,https://digital-transformation.hee.nhs.uk/building-a-digital-workforce/dart-ed/horizon-scanning/developing-healthcare-workers-confidence-in-ai/chapter-4-workforce-transformation/the-risk-of-deskilling,2025-05-16,,
,,,,,,"Donoho, D.",,,,,,,,ref40,,,,,,10.1080/10618600.2017.1384734,,,article,,,,,,,,,Journal of Computational and Graphical Statistics,,,,,,,4,,,745--766,,,,,,,,,50 years of data science,,https://doi.org/10.1080/10618600.2017.1384734,,26,2017
,,,,,,"Hutchinson, Ben and Mitchell, Margaret",,,,,,"Proceedings of the Conference on Fairness, Accountability, and Transparency",,hutchinson201950,,,,,,,,,inproceedings,,,,,,,,,,,,,,,URL: \url{https://arxiv.org/pdf/1811.10104.pdf},,,,49--58,,,,,,,,,50 {Y}ears of {T}est ({U}n) {F}airness: Lessons for {M}achine {L}earning,,,,,2019
,,,,,,Christoph Molnar,,,,,,,,molnar,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{https://christophm.github.io/interpretable-ml-book/},,,,,,,,christophm.github.io,,,,,\textbf{\textit{{I}nterpretable {M}achine {L}earning}},,,,,2018
,,,,,,Christoph Molnar,,,,,,,,molnar,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{https://christophm.github.io/interpretable-ml-book/},,,,,,,,christophm.github.io,,,,,\textbf{\textit{{I}nterpretable {M}achine {L}earning}},,,,,2018
,,,,,,Christoph Molnar,,,,,,,,molnar,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{https://christophm.github.io/interpretable-ml-book/},,,,,,,,christophm.github.io,,,,,\textbf{\textit{{I}nterpretable {M}achine {L}earning}},,,,,2018
,,,,,,Christoph Molnar,,,,,,,,molnar,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{https://christophm.github.io/interpretable-ml-book/},,,,,,,,christophm.github.io,,,,,\textbf{\textit{{I}nterpretable {M}achine {L}earning}},,,,,2018
,,,,,,Christoph Molnar,,,,,,,,molnar,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{https://christophm.github.io/interpretable-ml-book/},,,,,,,,christophm.github.io,,,,,\textbf{\textit{{I}nterpretable {M}achine {L}earning}},,,,,2018
,,,,,,Christoph Molnar,,,,,,,,molnar,,,,,,,,,book,,,,,,,,,,,,,,,URL: \url{https://christophm.github.io/interpretable-ml-book/},,,,,,,,christophm.github.io,,,,,\textbf{\textit{{I}nterpretable {M}achine {L}earning}},,,,,2018
,,,,,,Jane Elith and John R. Leathwick and Trevor Hastie,,,,,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2656.2008.01390.x/abstract,,,boost,,,,,,,,,article,,,,,,,,,\textit{Journal of Animal Ecology},,,,,,,4,,,802-813,,,,,,,,,\textbf{A Working Guide to Boosted Regression Trees},,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2656.2008.01390.x/abstract,,77,2008
