entry_type,citation_key,archiveprefix,author,booktitle,eprint,howpublished,journal,number,pages,primaryclass,publisher,title,url,volume,year
misc,ISO/IECTS5723:2022,,ISO,,,,ISO/IEC TS 5723:2022,,,,,{Trustworthiness — Vocabulary},https://www.iso.org/standard/81608.html,,2022
misc,ISO9000:2015,,ISO,,,,ISO 9000:2015,,,,,{Quality management systems—Fundamentals and vocabulary},https://www.iso.org/standard/45481.html,,2015
article,schwartz2022towards,,"Schwartz, Reva and Vassilev, Apostol and Greene, Kristen and Perine, Lori and Burt, Andrew and Hall, Patrick",,,,NIST Special Publication 1270,,,,,{Towards a Standard for Identifying and Managing Bias in Artificial Intelligence},https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=934464,,2022
inproceedings,hutto2014vader,,"Hutto, Clayton and Gilbert, Eric",Proceedings of the International AAAI Conference on Web and Social Media,,,,1,216--225,,,{VADER: A Parsimonious Rule-based Model for Sentiment Analysis of Social Media Text},https://ojs.aaai.org/index.php/icwsm/article/view/14550,8,2014
article,lee1999learning,,"Lee, Daniel D. and Seung, H. Sebastian",,,,nature,6755,788--791,,Nature Publishing Group UK London,{Learning the Parts of Objects by Non-negative Matrix Factorization},https://www.nature.com/articles/44565,401,1999
misc,teaming2022state,,"National Academies of Sciences, Engineering and Medicine",,,,,,,,,{Human-AI Teaming: State-of-the-art and Research Needs},https://nap.nationalacademies.org/read/26355/chapter/1,,2022
misc,openai2022textembedding,,OpenAI,,,,,,,,,{New and Improved Embedding Model},https://openai.com/blog/new-and-improved-embedding-model,,2022
book,hall2023machine,,"Hall, Patrick and Curtis, James and Pandey, Parul",,,,,,,,O'Reilly Media,{Machine Learning for High-risk Applications: Approaches to Responsible AI},https://www.oreilly.com/library/view/machine-learning-for/9781098102425/,,2023
article,ai2024artificial,,NIST,,,,"Trustworthy and Responsible AI, 600 Series",,,,,{Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile},https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf,,2024
article,sudjianto2024human,,"Sudjianto, Agus and Zhang, Aijun and Neppalli, Srinivas and Joshi, Tarun and Malohlava, Michal",,,,arXiv preprint arXiv:2411.16391,,,,,{Human-Calibrated Automated Testing and Validation of Generative Language Models},https://arxiv.org/pdf/2411.16391,,2024
misc,hallathertongairisk2024,,Patrick Hall and Daniel Atherton,,,GitHub Repository,,,,,,{Generative AI Risk Management Resources},https://github.com/jphall663/gai_risk_management,,2024
misc,llmsp,,Chawin Sitawarin and Charlie Cheng-Jie Ji and Apurv Verma and Luckyfan-cs,,,GitHub repository,,,,,,{LLM Security and Privacy},https://github.com/chawins/llm-sp,,
misc,garak,,Leon Derczynski and Erick Galinkin and Jeffrey Martin and Subho Majumdar and Nanna Inie,,,,,,,,,{garak: A Framework for Security Probing Large Language Models},https://garak.ai,,2024
misc,munoz2024pyritframeworksecurityrisk,arXiv,Gary D. Lopez Munoz and Amanda J. Minnich and Roman Lutz and Richard Lundeen and Raja Sekhar Rao Dheekonda and Nina Chikanov and Bolor-Erdene Jagdagdorj and Martin Pouliot and Shiven Chawla and Whitney Maxwell and Blake Bullwinkel and Katherine Pratt and Joris de Gruyter and Charlotte Siska and Pete Bryan and Tori Westerhoff and Chang Kawaguchi and Christian Seifert and Ram Shankar Siva Kumar and Yonatan Zunger,,2410.02828,,,,,cs.CR,,{PyRIT: A Framework for Security Risk Identification and Red Teaming in Generative AI Systems},https://arxiv.org/abs/2410.02828,,2024
misc,msftagentvuln,,"Pete Bryan and Giorgio Severi and Joris de Gruyter and Daniel Jones and Blake Bullwinkel,
Amanda Minnich and Shiven Chawla and Gary Lopez and Martin Pouliot and Adam Fourney,
Whitney Maxwell and Katherine Pratt and Saphir Qi and Nina Chikanov and Roman Lutz and Raja
Sekhar Rao Dheekonda and Bolor-Erdene Jagdagdorj and Eugenia Kim and Justin Song,
Keegan Hines and Daniel Jones and Richard Lundeen and Sam Vaughan and Victoria Westerhoff,
Yonatan Zunger and Chang Kawaguchi and Mark Russinovich and Ram Shankar Siva Kumar",,,,Microsoft,,,,,{Taxonomy of Failure Mode in Agentic AI Systems},https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/Taxonomy-of-Failure-Mode-in-Agentic-AI-Systems-Whitepaper.pdf,,2025
article,kraprayoon2025ai,,"Kraprayoon, Jam and Williams, Zoe and Fayyaz, Rida",,,,arXiv preprint arXiv:2505.21808,,,,,{AI Agent Governance: A Field Guide},https://arxiv.org/pdf/2505.21808,,2025
article,bennet2025implementing,,"Bennet, Karen and Rajbahadur, Gopi Krishnan and Suriyawongkul, Arthit and Stewart, Kate",,,,The Linux Foundation and SPDX,,,,,{Implementing AI Bill of Materials (AI BOM) with SPDX 3.0: A Comprehensive Guide to Creating AI and Dataset Bill of Materials},https://arxiv.org/pdf/2504.16743,,2025
article,gebru2021datasheets,,"Gebru, Timnit and Morgenstern, Jamie and Vecchione, Briana and Vaughan, Jennifer Wortman and Wallach, Hanna and Iii, Hal Daum{\'e} and Crawford, Kate",,,,Communications of the ACM,12,86--92,,"ACM New York, NY, USA",{Datasheets for Datasets},https://dl.acm.org/doi/10.1145/3458723,64,2021
misc,datacards,,M. Pushkarna and A. Zaldivar and D. Nanas and others.,,,,,,,,,{Data Cards Playbook},https://sites.research.google/datacardsplaybook/,,2021
article,holland2020dataset,,"Holland, Sarah and Hosny, Ahmed and Newman, Sarah and Joseph, Joshua and Chmielinski, Kasia",,,,Data protection and privacy,12,1,,Hart Publishing,{The Dataset Nutrition Label},https://arxiv.org/pdf/1805.03677,12,2020
inproceedings,mitchell2019model,,"Mitchell, Margaret and Wu, Simone and Zaldivar, Andrew and Barnes, Parker and Vasserman, Lucy and Hutchinson, Ben and Spitzer, Elena and Raji, Inioluwa Deborah and Gebru, Timnit","Proceedings of the conference on fairness, accountability, and transparency",,,,,220--229,,,{Model Cards for Model Reporting},https://dl.acm.org/doi/pdf/10.1145/3287560.3287596,,2019
