entry_type,citation_key,address,author,booktitle,issue,journal,note,number,pages,publisher,title,volume,year
article,aria_eval_plan,,"Reva Schwartz and Jonathan Fiscus and Kristen Greene and Gabriella Waters and Rumman Chowdhury and
Theodore Jensen and Craig Greenberg and Afzal Godil and Razvan Amironesei and Patrick Hall and Shomik Jain",,,nist.gov,\url{https://ai-challenges.nist.gov/aria/docs/evaluation_plan.pdf},,,,The NIST Assessing Risks and Impacts of AI (ARIA) Pilot Evaluation Plan,,2024
article,ai600-1,,NIST,,,nist.gov,\url{https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf},,,,"AI 600-1, Generative AI Risk Profile",,2024
book,mlhra,"Sebastopol, CA",Patrick Hall and James Curtis and Parul Pandey,,,,URL: \url{https://www.oreilly.com/library/view/machine-learning-for/9781098102425/},,,O'Reilly,{M}achine {L}earning for {H}igh-risk {A}pplications,,2023
misc,ai1003,,Daniel Atherton and Reva Schwartz and Peter C. Fontana and Patrick Hall,,,,URL: \url{https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-3.pdf},,,National Instities of Standards and Technology,{NIST AI} 100-3: {T}he {L}anguage of {T}rustworthy {AI}: {A}n {I}n-{D}epth {G}lossary of {T}erms,,2023
misc,airmf,,NIST,,,,URL: \url{https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf},,,National Instities of Standards and Technology,{NIST AI} 100-1: AI Risk Management Framework,,2023
misc,iqt1,,Andrea Brennen and Ryan Ashley and Ricardo Calix and JJ Ben-Joseph and George Sieniawski and Mona Gogia and BNH.AI,,,,URL: \url{https://assets.iqt.org/pdfs/IQTLabs_RoBERTaAudit_Dec2022_final.pdf/web/viewer.html},,,IQT Labs,"{AI} {A}ssurance {A}udit of {R}o{BERT}a, an {O}pen source, {P}retrained {L}arge {L}anguage {M}odel",,2022
misc,SP1270,,Reva Schwartz and Apostol Vassilev and Kristen Greene and Lori Perine and Andrew Burt and Patrick Hall,,,,URL: \url{https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1270.pdf},,,National Instities of Standards and Technology,{NIST SP}1270: {T}owards a {S}tandard for {I}dentifying and {M}anaging {B}ias in {A}rtificial {I}ntelligence,,2022
misc,audit1,,Patrick Hall,,,,URL: \url{https://www.oreilly.com/radar/what-we-learned-auditing-sophisticated-ai-for-bias/},,,O'Reilly Radar,{W}hat {W}e {L}earned {A}uditing {S}ophisticated {AI} for {B}ias,,2022
misc,odsc1,,Patrick Hall,,,,URL: \url{https://opendatascience.com/the-data-scientific-method-vs-the-scientific-method/},,,Open Data Science Conference,{T}he {D}ata {S}cientific {M}ethod vs. {T}he {S}cientific {M}ethod,,2022
article,frai,,Patrick Hall and Benjamin Cox and Steven Dickerson and Arjun Ravi Kannan and Raghu Kulkarni and  Nicholas Schmidt,,,Frontiers in Artificial Intelligence,URL: \url{https://www.frontiersin.org/articles/10.3389/frai.2021.695301/full},,,,{A} {U}nited {S}tates {F}air {L}ending {P}erspective on {M}achine {L}earning,4,2021
misc,mck1,,Kevin Buehler and Rachel Dooley and Liz Grennan and Alex Singla and Andrew Burt and Patrick Hall,,,,URL: \url{https://www.mckinsey.com/capabilities/quantumblack/our-insights/getting-to-know-and-manage-your-biggest-ai-risks},,,Mckinsey.com,Getting to know—and manage—your biggest AI risks,,2021
misc,aba1,,Brenda Leong and Patrick Hall,,,,URL: \url{https://www.abajournal.com/columns/article/5-things-lawyers-should-know-about-artificial-intelligence/},,,American BAr Association Journal,Five {T}hings {L}awyers {S}hould {K}now {A}bout {A}rtificial {I}ntelligence,,2021
misc,seven_qs,,"Hall, Patrick and Ouederni, Ayoub",,,,URL: \url{https://www.oreilly.com/radar/seven-legal-questions-for-data-scientists/},,,O'Reilly Radar,Seven {L}egal {Q}uestions for {D}ata {S}cientists,,2021
misc,airs_1,,"Mugdal, Yogesh et al.",,,,URL: \url{https://ai.wharton.upenn.edu/artificial-intelligence-risk-governance/},,,Wharton School of Business,Artificial Intelligence Risk \& Governance,,2020
article,ai_incidents_reuters,,Patrick Hall and Collin Starkweather,,,Thompson-Reuters Regulatory Intelligence,,,,,AI Incidents in Financial Services -- Parts 1 and 2,,2020
misc,hall2020responsible,,"Hall, Patrick and Gill, Navdeep and Cox, Benjamin",,,,URL: \url{http://info.h2o.ai/rs/644-PKX-778/images/OReilly_Responsible_ML_eBook.pdf},,,O'Reilly Media,Responsible {M}achine {L}earning: {A}ctionable {S}trategies for {M}itigating {R}isks and {D}riving {A}doption,,2020
