entry_type,citation_key,author,booktitle,editor,journal,note,number,organization,pages,publisher,title,url,volume,year
inproceedings,amershi2015modeltracker,"Amershi, Saleema and Chickering, Max and Drucker, Steven M and Lee, Bongshin and Simard, Patrice and Suh, Jina",Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,,,URL: \url{https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/amershi.CHI2015.ModelTracker.pdf},,ACM,337--346,,Modeltracker: {R}edesigning {P}erformance {A}nalysis {T}ools for {M}achine {L}earning,,,2015
inproceedings,agrawal2000privacy,"Agrawal, Rakesh and Srikant, Ramakrishnan",ACM Sigmod Record,,,URL: \url{http://alme1.almaden.ibm.com/cs/projects/iis/hdb/Publications/papers/sigmod00_privacy.pdf},2,ACM,439--450,,Privacy-{P}reserving {D}ata {M}ining,,29,2000
article,dt_surrogate2,Osbert Bastani and Carolyn Kim and Hamsa Bastani,,,arXiv preprint arXiv:1705.08504,URL: \url{https://arxiv.org/pdf/1705.08504.pdf},,,,,Interpreting {B}lackbox {M}odels via {M}odel {E}xtraction,,,2017
article,security_of_ml,"Barreno, Marco and Nelson, Blaine and Joseph, Anthony D and Tygar, J Doug",,,Machine Learning,URL: \url{https://people.eecs.berkeley.edu/~adj/publications/paper-files/SecML-MLJ2010.pdf},2,,121--148,Springer,The {S}ecurity of {M}achine {L}earning,,81,2010
article,calders2010three,"Calders, Toon and Verwer, Sicco",,,Data Mining and Knowledge Discovery,URL: \url{https://link.springer.com/content/pdf/10.1007/s10618-010-0190-x.pdf},2,,277--292,Springer,"Three {N}a\""{i}ve {B}ayes {A}pproaches for {D}iscrimination-free {C}lassification",,21,2010
inproceedings,calmon2017optimized,"Calmon, Flavio and Wei, Dennis and Vinzamuri, Bhanukiran and Ramamurthy, Karthikeyan Natesan and Varshney, Kush R.",Advances in Neural Information Processing Systems,,,URL: \url{http://papers.nips.cc/paper/6988-optimized-pre-processing-for-discrimination-prevention.pdf},,,3992--4001,,Optimized {P}re-processing for {D}iscrimination {P}revention,,,2017
inproceedings,dwork2012fairness,"Dwork, Cynthia and Hardt, Moritz and Pitassi, Toniann and Reingold, Omer and Zemel, Richard",Proceedings of the 3rd Innovations in Theoretical Computer Science Conference,,,URL: \url{https://arxiv.org/pdf/1104.3913.pdf},,ACM,214--226,,Fairness {T}hrough {A}wareness,,,2012
inproceedings,feldman2015certifying,"Feldman, Michael and Friedler, Sorelle A. and Moeller, John and Scheidegger, Carlos and Venkatasubramanian, Suresh",Proceedings of the 21th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,URL: \url{https://arxiv.org/pdf/1412.3756.pdf},,ACM,259--268,,Certifying and {R}emoving {D}isparate {I}mpact,,,2015
inproceedings,hcml,"Gillies, Marco and Fiebrink, Rebecca and Tanaka, Atau and Garcia, J{\'e}r{\'e}mie and Bevilacqua, Fr{\'e}d{\'e}ric and Heloir, Alexis and Nunnari, Fabrizio and Mackay, Wendy and Amershi, Saleema and Lee, Bongshin and others",Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems,,,URL: \url{http://research.gold.ac.uk/16112/1/HCML2016.pdf},,ACM,3558--3565,,Human-{C}entred {M}achine {L}earning,,,2016
inproceedings,hardt2016equality,"Hardt, Moritz and Price, Eric and Srebro, Nati and others",Advances in neural information processing systems,,,URL: \url{http://papers.nips.cc/paper/6374-equality-of-opportunity-in-supervised-learning.pdf},,,3315--3323,,Equality of {O}pportunity in {S}upervised {L}earning,,,2016
