entry_type,citation_key,address,author,bdsk-url-1,booktitle,editor,institution,journal,number,organization,pages,publisher,title,url,volume,year
article,been_kim1,,Finale Doshi-Velez and Been Kim,,,,,arXiv preprint arXiv:1702.08608,,,,,Towards a rigorous science of interpretable machine learning,https://arxiv.org/pdf/1702.08608.pdf,,2017
article,gilpin2018explaining,,Leilani H Gilpin and David Bau and Ben Z. Yuan and Ayesha Bajwa and Michael Specter and Lalana Kagal,,,,,arXiv preprint arXiv:1806.00069,,,,,Explaining Explanations: An Approach to Evaluating Interpretability of Machine Learning,https://arxiv.org/pdf/1806.00069.pdf,,2018
book,lfd,New York,Yaser S. Abu-Mostafa and Malik Magdon-Ismail and Hsuan-Tien Lin,,\textit{Learning from Data},,,,,,,AMLBook,\textbf{Learning from Data},https://work.caltech.edu/textbook.html,,2012
article,dt_surrogate1,,Mark W. Craven and Jude W. Shavlik,,,,,Advances in Neural Information Processing Systems,,,,,Extracting Tree-Structured Representations of Trained Networks ,http://papers.nips.cc/paper/1152-extracting-tree-structured-representations-of-trained-networks.pdf,,1996
article,dt_surrogate2,,Osbert Bastani and Carolyn Kim and Hamsa Bastani,,,,,arXiv preprint arXiv:1705.08504,,,,,Interpreting blackbox models via model extraction,https://arxiv.org/pdf/1705.08504.pdf,,2017
article,lime-sup,,Linwei Hu and Jie Chen and Vijayan N. Nair and Agus Sudjianto,,,,,arXiv preprint arXiv:1806.00663,,,,,Locally Interpretable Models and Effects based on Supervised Partitioning (LIME-SUP),https://arxiv.org/ftp/arxiv/papers/1806/1806.00663.pdf,,2018
inproceedings,lime,,Marco Tulio Ribeiro and Sameer Singh and Carlos Guestrin,,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,,ACM,1135--1144,,Why should {I} trust you?: {E}xplaining the predictions of any classifier,http://www.kdd.org/kdd2016/papers/files/rfp0573-ribeiroA.pdf,,2016
article,ice_plots,,Alex Goldstein and Adam Kapelner and Justin Bleich and Emil Pitkin,,,,,Journal of Computational and Graphical Statistics,1,,,,Peeking Inside the Black Box: Visualizing Statistical Learning with Plots of Individual Conditional Expectation,,24,2015
misc,uci,,M. Lichman,,,,"University of California, Irvine, School of Information and Computer Sciences",,,,,,{UCI} Machine Learning Repository,http://archive.ics.uci.edu/ml,,2013
book,esl,New York,Jerome Friedman and Trevor Hastie and Robert Tibshirani,https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII_print12.pdf,\textit{The Elements of Statistical Learning},,,,,,,Springer,\textbf{The Elements of Statistical Learning},https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII_print12.pdf,,2001
misc,h2o_mli_booklet,,Patrick Hall and Navdeep Gill and Megan Kurka and Wen Phan,,,,H2O.ai,,,,,,Machine Learning Interpretability with H2O Driverless AI,http://docs.h2o.ai/driverless-ai/latest-stable/docs/booklets/MLIBooklet.pdf,,2017
incollection,shapley,,"Lundberg, Scott M and Lee, Su-In",,Advances in Neural Information Processing Systems 30,I. Guyon and U. V. Luxburg and S. Bengio and H. Wallach and R. Fergus and S. Vishwanathan and R. Garnett,,,,,4765--4774,"Curran Associates, Inc.",A Unified Approach to Interpreting Model Predictions,http://papers.nips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions.pdf,,2017
article,tree_shap,,"Lundberg, Scott M and Erion, Gabriel G and Lee, Su-In",,,,,arXiv preprint arXiv:1802.03888,,,,,Consistent Individualized Feature Attribution for Tree Ensembles,https://arxiv.org/pdf/1706.06060.pdf,,2018
