entry_type,citation_key,address,author,booktitle,editor,journal,note,number,organization,pages,publisher,title,volume,year
article,broniatowski2021psychological,,"Broniatowski, David A.",,,,URL: \url{https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=931426},,,,"NIST Interagency/Internal Report (NISTIR), National Institute of Standards~…",Psychological {F}oundations of {E}xplainability and {I}nterpretability in {A}rtificial {I}ntelligence,,2021
article,caruana2004kdd,,"Caruana, Rich and Joachims, Thorsten and Backstrom, Lars",,,ACM SIGKDD Explorations Newsletter,URL: \url{https://www.cs.cornell.edu/people/tj/publications/caruana_etal_04a.pdf},2,,95--108,"ACM New York, NY, USA",{KDD} {C}up 2004: {R}esults and {A}nalysis,6,2004
inproceedings,this_looks_like_that,,Chaofan Chen and Oscar Li and Alina Barnett and Jonathan Su and Cynthia Rudin,Proceedings of Neural Information Processing Systems {(NeurIPS)},,,URL: \url{https://arxiv.org/pdf/1806.10574.pdf},,,,,{T}his {L}ooks {L}ike {T}hat: {D}eep {L}earning for {I}nterpretable {I}mage {R}ecognition,,2019
article,been_kim1,,Finale Doshi-Velez and Been Kim,,,arXiv preprint arXiv:1702.08608,URL: \url{https://arxiv.org/pdf/1702.08608.pdf},,,,,Towards a {R}igorous {S}cience of {I}nterpretable {M}achine {L}earning,,2017
book,esl,New York,Jerome Friedman and Trevor Hastie and Robert Tibshirani,\textit{The Elements of Statistical Learning},,,URL: \url{https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII\_print12.pdf},,,,Springer,\textbf{The Elements of Statistical Learning},,2001
article,rulefit,,"Friedman, Jerome H. and Popescu, Bogdan E. and others",,,The Annals of Applied Statistics,URL: \url{https://projecteuclid.org/download/pdfview_1/euclid.aoas/1223908046},3,,916--954,Institute of Mathematical Statistics,Predictive {L}earning {V}ia {R}ule {E}nsembles,2,2008
article,rml_workflow,,"Gill, Navdeep and Hall, Patrick and Montgomery, Kim and Schmidt, Nicholas",,,Information,URL: \url{https://www.mdpi.com/2078-2489/11/3/137},3,,137,Multidisciplinary Digital Publishing Institute,"A {R}esponsible {M}achine {L}earning {W}orkflow with {F}ocus on {I}nterpretable {M}odels, {P}ost-hoc {E}xplanation, and {D}iscrimination {T}esting",11,2020
article,ice_plots,,Alex Goldstein and Adam Kapelner and Justin Bleich and Emil Pitkin,,,Journal of Computational and Graphical Statistics,URL: \url{https://arxiv.org/pdf/1309.6392.pdf},1,,,,Peeking {I}nside the {B}lack {B}ox: {V}isualizing {S}tatistical {L}earning with {P}lots of {I}ndividual {C}onditional {E}xpectation,24,2015
article,osdt,,"Hu, Xiyang and Rudin, Cynthia and Seltzer, Margo",,,arXiv preprint arXiv:1904.12847,URL: \url{https://arxiv.org/pdf/1904.12847.pdf},,,,,Optimal {S}parse {D}ecision {T}rees,,2019
inproceedings,ga2m,,"Lou, Yin and Caruana, Rich and Gehrke, Johannes and Hooker, Giles",Proceedings of the 19th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,URL: \url{http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.352.7682&rep=rep1&type=pdf},,ACM,623--631,,Accurate {I}ntelligible {M}odels with {P}airwise {I}nteractions,,2013
incollection,shapley,,"Lundberg, Scott M. and Lee, Su-In",Advances in Neural Information Processing Systems 30,I. Guyon and U. V. Luxburg and S. Bengio and H. Wallach and R. Fergus and S. Vishwanathan and R. Garnett,,URL: \url{http://papers.nips.cc/paper/7062-a-unified-approach-to-interpreting-model-predictions.pdf},,,4765--4774,"Curran Associates, Inc.",A {U}nified {A}pproach to {I}nterpreting {M}odel {P}redictions,,2017
inproceedings,model_cards,,"Mitchell, Margaret and Wu, Simone and Zaldivar, Andrew and Barnes, Parker and Vasserman, Lucy and Hutchinson, Ben and Spitzer, Elena and Raji, Inioluwa Deborah and Gebru, Timnit","Proceedings of the Conference on Fairness, Accountability, and Transparency",,,URL: \url{https://arxiv.org/pdf/1810.03993.pdf},,,220--229,,Model {C}ards for {M}odel {R}eporting,,2019
article,sudjianto2021designing,,"Sudjianto, Agus and Zhang, Aijun",,,arXiv preprint arXiv:2111.01743,URL: \url{https://arxiv.org/pdf/2111.01743.pdf},,,,,Designing {I}nherently {I}nterpretable {M}achine {L}earning {M}odels,,2021
article,slim,,"Ustun, Berk and Rudin, Cynthia",,,Machine Learning,URL: \url{https://users.cs.duke.edu/~cynthia/docs/UstunTrRuAAAI13.pdf},3,,349--391,Springer,{Supersparse {L}inear {I}nteger {M}odels for {O}ptimized {M}edical {S}coring {S}ystems},102,2016
article,wf_xnn,,"Vaughan, Joel and Sudjianto, Agus and Brahimi, Erind and Chen, Jie and Nair, Vijayan N.",,,arXiv preprint arXiv:1806.01933,URL: \url{https://arxiv.org/pdf/1806.01933.pdf},,,,,Explainable {N}eural {N}etworks {B}ased on {A}dditive {I}ndex {M}odels,,2018
inproceedings,sbrl,,Hongyu Yang and Cynthia Rudin and Margo Seltzer,Proceedings of the 34th International Conference on Machine Learning {(ICML)},,,URL: \url{https://arxiv.org/pdf/1602.08610.pdf},,,,,Scalable {B}ayesian {R}ule {L}ists,,2017
