entry_type,citation_key,address,author,booktitle,editor,institution,journal,month,note,number,organization,pages,publisher,title,url,volume,year
article,fair_washing,,"A{\""\i}vodji, Ulrich and Arai, Hiromi and Fortineau, Olivier and Gambs, S{\'e}bastien and Hara, Satoshi and Tapp, Alain",,,,arXiv preprint arXiv:1901.09749,,URL: \url{https://arxiv.org/pdf/1901.09749.pdf},,,,,Fairwashing: the {R}isk of {R}ationalization,,,2019
inproceedings,amershi2015modeltracker,,"Amershi, Saleema and Chickering, Max and Drucker, Steven M and Lee, Bongshin and Simard, Patrice and Suh, Jina",Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,,,,,URL: \url{https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/amershi.CHI2015.ModelTracker.pdf},,ACM,337--346,,Modeltracker: {R}edesigning {P}erformance {A}nalysis {T}ools for {M}achine {L}earning,,,2015
article,angwin16,,Julia Angwin and Jeff Larson and Surya Mattu and Lauren Kirchner,,,,ProPublica,,URL: \url{https://www.propublica.org/article/machine-bias-risk-assessments-in-criminal-sentencing},,,,,{M}achine {B}ias: {T}here's {S}oftware {U}sed {A}cross the {C}ountry to {P}redict {F}uture {C}riminals. {A}nd {I}t's {B}iased {A}gainst {B}lacks.,,,2016
article,ale_plot,,"Apley, Daniel W.",,,,arXiv preprint arXiv:1612.08468,,URL: \url{https://arxiv.org/pdf/1612.08468.pdf},,,,,Visualizing the {E}ffects of {P}redictor {V}ariables in {B}lack {B}ox {S}upervised {L}earning {M}odels,,,2016
article,broniatowski2021psychological,,"Broniatowski, David A and others",,,,,,URL: \url{https://tsapps.nist.gov/publication/get_pdf.cfm?pub_id=931426},,,,"NIST Interagency/Internal Report (NISTIR), National Institute of Standards~…",Psychological {F}oundations of {E}xplainability and {I}nterpretability in {A}rtificial {I}ntelligence,,,2021
book,barocas-hardt-narayanan,,Solon Barocas and Moritz Hardt and Arvind Narayanan,,,,,,URL: \url{http://www.fairmlbook.org},,,,fairmlbook.org,Fairness and Machine Learning,,,2018
article,security_of_ml,,"Barreno, Marco and Nelson, Blaine and Joseph, Anthony D and Tygar, J Doug",,,,Machine Learning,,URL: \url{https://people.eecs.berkeley.edu/~adj/publications/paper-files/SecML-MLJ2010.pdf},2,,121--148,Springer,The {S}ecurity of {M}achine {L}earning,,81,2010
article,dt_surrogate2,,Osbert Bastani and Carolyn Kim and Hamsa Bastani,,,,arXiv preprint arXiv:1705.08504,,URL: \url{https://arxiv.org/pdf/1705.08504.pdf},,,,,Interpreting {B}lackbox {M}odels via {M}odel {E}xtraction,,,2017
inproceedings,viper,,"Bastani, Osbert and Pu, Yewen and Solar-Lezama, Armando",Advances in Neural Information Processing Systems,,,,,URL: \url{http://papers.nips.cc/paper/7516-verifiable-reinforcement-learning-via-policy-extraction.pdf},,,2494--2504,,Verifiable {R}einforcement {L}earning {V}ia {P}olicy {E}xtraction,,,2018
article,calders2010three,,"Calders, Toon and Verwer, Sicco",,,,Data Mining and Knowledge Discovery,,URL: \url{https://link.springer.com/content/pdf/10.1007/s10618-010-0190-x.pdf},2,,277--292,Springer,"Three {N}a\""{i}ve {B}ayes {A}pproaches for {D}iscrimination-free {C}lassification",,21,2010
inproceedings,calmon2017optimized,,"Calmon, Flavio and Wei, Dennis and Vinzamuri, Bhanukiran and Ramamurthy, Karthikeyan Natesan and Varshney, Kush R.",Advances in Neural Information Processing Systems,,,,,URL: \url{http://papers.nips.cc/paper/6988-optimized-pre-processing-for-discrimination-prevention.pdf},,,3992--4001,,Optimized {P}re-processing for {D}iscrimination {P}revention,,,2017
article,dt_surrogate1,,Mark W. Craven and Jude W. Shavlik,,,,Advances in Neural Information Processing Systems,,URL: \url{http://papers.nips.cc/paper/1152-extracting-tree-structured-representations-of-trained-networks.pdf},,,,,Extracting {T}ree-{S}tructured {R}epresentations of {T}rained {N}etworks,,,1996
inproceedings,feldman2015certifying,,"Feldman, Michael and Friedler, Sorelle A. and Moeller, John and Scheidegger, Carlos and Venkatasubramanian, Suresh",Proceedings of the 21\textsuperscript{st} ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,,URL: \url{https://arxiv.org/pdf/1412.3756.pdf},,ACM,259--268,,Certifying and {R}emoving {D}isparate {I}mpact,,,2015
article,been_kim1,,Finale Doshi-Velez and Been Kim,,,,arXiv preprint arXiv:1702.08608,,URL: \url{https://arxiv.org/pdf/1702.08608.pdf},,,,,Towards a {R}igorous {S}cience of {I}nterpretable {M}achine {L}earning,,,2017
article,flores2016false,,"Flores, Anthony W. and Bechtel, Kristin and Lowenkamp, Christopher T.",,,,Fed. Probation,,URL: \url{https://bit.ly/2Gesf9Y},,,38,HeinOnline,"False {P}ositives, {F}alse {N}egatives, and {F}alse {A}nalyses: {A} {R}ejoinder to {M}achine {B}ias: {T}here's {S}oftware {U}sed across the {C}ountry to {P}redict {F}uture {C}riminals. {A}nd {I}t's {B}iased against {B}lacks",,80,2016
article,friedler2019assessing,,"Friedler, Sorelle A. and Roy, Chitradeep Dutta and Scheidegger, Carlos and Slack, Dylan",,,,arXiv preprint arXiv:1902.03501,,URL: \url{https://arxiv.org/pdf/1902.03501.pdf},,,,,{A}ssessing the {L}ocal {I}nterpretability of {M}achine {L}earning {M}odels,,,2019
book,esl,New York,Jerome Friedman and Trevor Hastie and Robert Tibshirani,\textit{The Elements of Statistical Learning},,,,,URL: \url{https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII\_print12.pdf},,,,Springer,\textbf{The Elements of Statistical Learning},,,2001
