entry_type,citation_key,author,booktitle,journal,note,number,organization,pages,publisher,title,volume,year
article,fair_washing,"A{\""\i}vodji, Ulrich and Arai, Hiromi and Fortineau, Olivier and Gambs, S{\'e}bastien and Hara, Satoshi and Tapp, Alain",,arXiv preprint arXiv:1901.09749,URL: \url{https://arxiv.org/pdf/1901.09749.pdf},,,,,Fairwashing: the {R}isk of {R}ationalization,,2019
inproceedings,gender_shades,"Buolamwini, Joy and Gebru, Timnit","Conference on Fairness, Accountability and Transparency",,URL: \url{http://proceedings.mlr.press/v81/buolamwini18a/buolamwini18a.pdf},,,77--91,,Gender {S}hades: {I}ntersectional {A}ccuracy {D}isparities in {C}ommercial {G}ender {C}lassification,,2018
article,hall2019guidelines,"Hall, Patrick and Navdeep Gill and Nicholas Schmidt",,arXiv preprint arXiv:1906.03533,URL: \url{https://arxiv.org/pdf/1906.03533.pdf},,,,,Guidelines for the {R}esponsible {U}se of {E}xplainable {M}achine {L}earning,,2019
article,kamiran2012data,"Kamiran, Faisal and Calders, Toon",,Knowledge and Information Systems,URL: \url{https://bit.ly/2lH95lQ},1,,1--33,Springer,Data {P}reprocessing {T}echniques for {C}lassification {W}ithout {D}iscrimination,33,2012
inproceedings,kamiran2012decision,"Kamiran, Faisal and Karim, Asim and Zhang, Xiangliang",2012 IEEE 12th International Conference on Data Mining,,URL: \url{http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.722.3030&rep=rep1&type=pdf},,IEEE,924--929,,Decision {T}heory for {D}iscrimination-aware {C}lassification,,2012
misc,kangdebugging,"Kang, Daniel and Raghavan, Deepti and Bailis, Peter and Zaharia, Matei",,,URL: \url{https://www-cs.stanford.edu/~matei/papers/2018/mlsys_model_assertions.pdf},,,,,Debugging {M}achine {L}earning {M}odels via {M}odel {A}ssertions,,2019
article,obermeyer2019dissecting,"Obermeyer, Ziad and Powers, Brian and Vogeli, Christine and Mullainathan, Sendhil",,Science,URL: \url{https://bit.ly/36XK6yk},6464,,447--453,American Association for the Advancement of Science,Dissecting {R}acial {B}ias in an {A}lgorithm {U}sed to {M}anage the {H}ealth of {P}opulations,366,2019
article,scaffolding,"Slack, Dylan and Hilgard, Sophie and Jia, Emily and Singh, Sameer and Lakkaraju, Himabindu",,arXiv preprint arXiv:1911.02508,URL: \url{https://arxiv.org/pdf/1911.02508.pdf},,,,,How {C}an {W}e {F}ool {L}{I}{M}{E} and {S}{H}{A}{P}? {A}dversarial {A}ttacks on {P}ost-hoc {E}xplanation {M}ethods,,2019
inproceedings,zemel2013learning,"Zemel, Rich and Wu, Yu and Swersky, Kevin and Pitassi, Toni and Dwork, Cynthia",International Conference on Machine Learning,,URL: \url{http://proceedings.mlr.press/v28/zemel13.pdf},,,325--333,,Learning {F}air {R}epresentations,,2013
inproceedings,zhang2018mitigating,"Zhang, Brian Hu and Lemoine, Blake and Mitchell, Margaret","Proceedings of the 2018 AAAI/ACM Conference on AI, Ethics, and Society",,URL: \url{https://arxiv.org/pdf/1801.07593.pdf},,ACM,335--340,,Mitigating {U}nwanted {B}iases with {A}dversarial {L}earning,,2018
article,schwartz2022towards,"Schwartz, Reva and Vassilev, Apostol and Greene, Kristen and Perine, Lori and Burt, Andrew and Hall, Patrick",,NIST Special Publication,URL: \url{https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1270.pdf},,,1--77,,Towards a {S}tandard for {I}dentifying and {M}anaging {B}ias in {A}rtificial {I}ntelligence,1270,2022
