entry_type,citation_key,author,booktitle,doi,editor,journal,keywords,note,number,pages,publisher,title,url,volume,year
inproceedings,NIPS2013_9aa42b31,"Mikolov, Tomas and Sutskever, Ilya and Chen, Kai and Corrado, Greg S. and Dean, Jeff",Advances in Neural Information Processing Systems,,C.J. Burges and L. Bottou and M. Welling and Z. Ghahramani and K.Q. Weinberger,,,URL: \url{https://proceedings.neurips.cc/paper_files/paper/2013/file/9aa42b31882ec039965f3c4923ce901b-Paper.pdf},,,"Curran Associates, Inc.",Distributed Representations of Words and Phrases and their Compositionality,,26,2013
inproceedings,NIPS2014_a14ac55a,"Sutskever, Ilya and Vinyals, Oriol and Le, Quoc V.",Advances in Neural Information Processing Systems,,Z. Ghahramani and M. Welling and C. Cortes and N. Lawrence and K.Q. Weinberger,,,URL: \url{https://proceedings.neurips.cc/paper_files/paper/2014/file/a14ac55a4f27472c5d894ec1c3c743d2-Paper.pdf},,,"Curran Associates, Inc.",Sequence to Sequence Learning with Neural Networks,,27,2014
inproceedings,NIPS2017_3f5ee243,"Vaswani, Ashish and Shazeer, Noam and Parmar, Niki and Uszkoreit, Jakob and Jones, Llion and Gomez, Aidan N. and Kaiser, \L ukasz and Polosukhin, Illia",Advances in Neural Information Processing Systems,,I. Guyon and U. Von Luxburg and S. Bengio and H. Wallach and R. Fergus and S. Vishwanathan and R. Garnett,,,URL: \url{https://proceedings.neurips.cc/paper_files/paper/2017/file/3f5ee243547dee91fbd053c1c4a845aa-Paper.pdf},,,"Curran Associates, Inc.",Attention is All you Need,,30,2017
article,radford2019language,"Radford, Alec and Wu, Jeffrey and Child, Rewon and Luan, David and Amodei, Dario and Sutskever, Ilya and others",,,,OpenAI blog,,URL: \url{https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf},8,,,{Language Models are Unsupervised Multitask Learners},,1,2019
article,lewis2020retrieval,"Lewis, Patrick and Perez, Ethan and Piktus, Aleksandra and Petroni, Fabio and Karpukhin, Vladimir and Goyal, Naman and K{\""u}ttler, Heinrich and Lewis, Mike and Yih, Wen-tau and Rockt{\""a}schel, Tim and others",,,,Advances in Neural Information Processing Systems,,URL: \url{https://proceedings.neurips.cc/paper_files/paper/2020/file/6b493230205f780e1bc26945df7481e5-Paper.pdf},,9459--9474,,{Retrieval-augmented Generation for Knowledge-intensive NLP Tasks},,33,2020
article,li2024llm,"Li, Nathaniel and Han, Ziwen and Steneker, Ian and Primack, Willow and Goodside, Riley and Zhang, Hugh and Wang, Zifan and Menghini, Cristina and Yue, Summer",,,,arXiv preprint arXiv:2408.15221,,URL: \url{https://arxiv.org/pdf/2408.15221},,,,{LLM Defenses Are Not Robust to Multi-turn Human Jailbreaks Yet},,,2024
misc,ai2024artificial,"NIST, AI",,,,,,URL: \url{https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf},,,"NIST, Gaithersburg MD",{Artificial Intelligence Risk Management Framework: Generative Artificial Intelligence Profile},,,2024
inproceedings,li2024task,"Li, Changmao and Flanigan, Jeffrey",Proceedings of the AAAI Conference on Artificial Intelligence,,,,,URL: \url{https://ojs.aaai.org/index.php/AAAI/article/view/29808},16,18471--18480,,{Task Contamination: Language Models May Not be Few-shot Anymore},,38,2024
article,hasan2022algorithmic,"Hasan, Ali and Brown, Shea and Davidovic, Jovana and Lange, Benjamin and Regan, Mitt",,,,Digital Society,,URL: \url{https://philpapers.org/archive/HASABA.pdf},2,14,Springer,Algorithmic {B}ias and {R}isk {A}ssessments: {L}essons from {P}ractice,,1,2022
article,atherton2023language,"Atherton, Daniel and Schwartz, Reva and Fontana, Peter and Hall, Patrick",,,,,,URL: \url{https://airc.nist.gov/AI_RMF_Knowledge_Base/Glossary},,,"National Institute of Standards and Technology, Gaithersburg, MD",The {L}anguage of {T}rustworthy {AI}: {A}n {I}n-{D}epth {G}lossary of {T}erms,,,2023
