entry_type,citation_key,address,author,bdsk-url-1,booktitle,editor,howpublished,institution,issn,issue_date,journal,month,note,number,numpages,organization,pages,publisher,title,type,url,volume,year
article,been_kim1,,Finale Doshi-Velez and Been Kim,,,,,,,,arXiV preprint,,,,,,,,Towards a rigorous science of interpretable machine learning,,,,2017
article,oreillymli,,Patrick Hall and Wen Phan and Sri Satish Ambati,,,,,,,,\textit{O'Reilly Ideas},,,,,,,,Ideas on Interpreting machine learning,,https://www.oreilly.com/ideas/ideas-on-interpreting-machine-learning,,2017
inproceedings,lime,,Marco Tulio Ribeiro and Sameer Singh and Carlos Guestrin,,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,,,,,,,,ACM,1135--1144,,Why should {I} trust you?: {E}xplaining the predictions of any classifier,,,,2016
book,lfd,New York,Yaser S. Abu-Mostafa and Malik Magdon-Ismail and Hsuan-Tien Lin,,\textit{Learning from Data},,,,,,,,,,,,,AMLBook,\textbf{Learning from Data},,https://work.caltech.edu/textbook.html,,2012
article,two_cultures,,Leo Breiman,,,,,,,,\textit{Statistical Science},,,3,,,,,Statistical Modeling: The Two Cultures (with comments and a rejoinder by the author),,https://projecteuclid.org/euclid.ss/1009213726,16,2001
article,RF,,Leo Breiman,,,,,,,,\textit{Machine learning},,,1,,,,,Random forests,,https://www.stat.berkeley.edu/~breiman/randomforest2001.pdf,45,2001
article,conformal_reg,,Jing Lei and Max G'Sell and Alessandro Rinaldo and Ryan J. Tibshirani and Larry Wasserman,,,,,,,,\textit{Journal of the American Statistical Association} (just-accepted),,,,,,,,Distribution-Free Predictive Inference For Regression,,http://www.stat.cmu.edu/~ryantibs/papers/conformal.pdf,,2017
article,dt_surrogate,,Mark W. Craven and Jude W. Shavlik,,,,,,,,Advances in Neural Information Processing Systems,,,,,,,,Extracting Tree-Structured Representations of Trained Networks ,,http://papers.nips.cc/paper/1152-extracting-tree-structured-representations-of-trained-networks.pdf,,1996
article,ice_plots,,Alex Goldstein and Adam Kapelner and Justin Bleich and Emil Pitkin,,,,,,,,Journal of Computational and Graphical Statistics,,,1,,,,,Peeking Inside the Black Box: Visualizing Statistical Learning with Plots of Individual Conditional Expectation,,,24,2015
book,Lohninger,New York,Hans Lohninger,http://www.vias.org/tmdatanaleng/index.html,,,,,,,,,,,,,,Springer-Verlag,\textbf{Teach/Me Data Analysis},,http://www.vias.org/tmdatanaleng/index.html,,1999
misc,uci,,M. Lichman,,,,,"University of California, Irvine, School of Information and Computer Sciences",,,,,,,,,,,{UCI} Machine Learning Repository,,http://archive.ics.uci.edu/ml,,2013
article,glmnet,,Jerome Friedman and Trevor Hastie and Rob Tibshirani,http://core.ac.uk/download/pdf/6287975.pdf,,,,,,,\textit{Journal of Statistical Software},,,1,,,,,\textbf{Regularization Paths for Generalized Linear Models via Coordinate Descent},,http://core.ac.uk/download/pdf/6287975.pdf,33,2009
article,strongrules,,Jacob Bien and Jerome Friedman and Trevor Hastie and Noah Simon and Jonathan Taylor and Rob Tibshirani and Ryan J. Tibshirani,http://statweb.stanford.edu/~tibs/ftp/strong.pdf,,,,,,,\textit{Journal of the Royal Statistical Society. Series B},,,1,,,,,\textbf{Strong Rules for Discarding Predictors in Lasso-type Problems},,http://statweb.stanford.edu/~tibs/ftp/strong.pdf,74,2012
article,elastic,,Hui Zou and Trevor Hastie,,,,,,,,\textit{Journal of the Royal Statistical Society. Series B},,,,,,301--320,,\textbf{Regularization and variable selection via the Elastic Net},,,67,2005
article,lasso,,Rob Tibshirani,http://statweb.stanford.edu/~tibs/lasso/lasso.pdf,,,,,,,\textit{Journal of the Royal Statistical Society. Series B (Methodological)},,,1,,,267-288,,\textbf{Regression Shrinkage and Selection via the Lasso},,http://statweb.stanford.edu/~tibs/lasso/lasso.pdf,58,1996
article,admm,,Stephen Boyd and Neal Parikh and Eric Chu and Borja Peleato and Jonahtan Eckstein,https://web.stanford.edu/~boyd/papers/pdf/admm_distr_stats.pdf,,,,,,,\textit{Foundations and Trends in Machine Learning},,,1,,,1-122,,\textbf{Distributed Optimization and Statistical Learning via the Alternating Direction Method of Multipliers},,https://web.stanford.edu/~boyd/papers/pdf/admm_distr_stats.pdf,3,1996
misc,cliffgbm,,Cliff Click,%7Bhttp://h2o.ai/blog/2013/10/building-distributed-gbm-h2o/%7D,,,,,,,{H2O.ai Blog},,,,,,,,\textbf{Building a Distributed GBM on H2O},,{http://h2o.ai/blog/2013/10/building-distributed-gbm-h2o/},,2013
article,bias,,Thomas Dietterich and Eun Bae Kong,http://www.iiia.csic.es/~vtorra/tr-bias.pdf,,,,,,,,,,,,,,,"\textbf{Machine Learning Bias, Statistical Bias, and Statistical Variance of Decision Tree Algorithms}",,http://www.iiia.csic.es/~vtorra/tr-bias.pdf,,1995
article,boost,,Jane Elith and John R. Leathwick and Trevor Hastie,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2656.2008.01390.x/abstract,,,,,,,\textit{Journal of Animal Ecology},,,4,,,802-813,,\textbf{A Working Guide to Boosted Regression Trees},,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2656.2008.01390.x/abstract,77,2008
article,greedyfunction,,Jerome H. Friedman,http://statweb.stanford.edu/?jhf/ftp/trebst.pdf,,,,,,,\textit{Annals of Statistics},,,,,,1189--1232,,\textbf{Greedy Function Approximation: A Gradient Boosting Machine},,http://statweb.stanford.edu/?jhf/ftp/trebst.pdf,29,1999
article,prox,,Neal Parikh and Stephen Boyd,http://web.stanford.edu/~boyd/papers/pdf/prox_algs.pdf,,,,,,,\textit{Foundations and Trends in Optimization},,,3,,,123-231,,\textbf{Proximal Algorithms},,http://web.stanford.edu/~boyd/papers/pdf/prox_algs.pdf,1,2014
article,discussion,,Jerome Friedman and Trevor Hastie and Robert Tibshirani,http://web.stanford.edu/?hastie/Papers/boost_discussion.pdf,,,,,,,\textit{Annual Statistics},,,,,,102-107,,\textbf{Discussion of Boosting Papers},,http://web.stanford.edu/?hastie/Papers/boost_discussion.pdf,32,2004
article,additivelogistic,,Jerome Friedman and Trevor Hastie and Robert Tibshirani,http://projecteuclid.org/DPubS?service=UI&version=1.0&verb=Display&handle=%20euclid.aos/1016218223,,,,,,,\textit{Annals of Statistics},,,,,,2000,,\textbf{Additive Logistic Regression: a Statistical View of Boosting},,http://projecteuclid.org/DPubS?service=UI&version=1.0&verb=Display&handle= euclid.aos/1016218223,28,1998
book,esl,New York,Jerome Friedman and Trevor Hastie and Robert Tibshirani,https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII_print12.pdf,\textit{The Elements of Statistical Learning},,,,,,,,,,,,,Springer,\textbf{The Elements of Statistical Learning},,https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII_print12.pdf,,2001
misc,performance,,"Candel, Arno",,,,\url{http://h2o.ai/blog/2015/02/deep-learning-performance/},,,,H2O.ai Blog,,,February 26,,,,,\textbf{Definitive Performance Tuning Guide for Deep Learning},Blog,,,2015
article,neuralnet,,G.E. Hinton and R.R. Salakhutdinov,http://www.cs.toronto.edu/~hinton/science.pdf,,,,,,,\textit{Science},,,,,,504--507,,\textbf{Reducing the Dimensionality of Data with Neural Networks},,http://www.cs.toronto.edu/~hinton/science.pdf,313,2006
online,mnist,,"LeCun, Yann and Cortes, Corinna and Burgres, Christopher J.C",http://yann.lecun.com/exdb/mnist/,,,,,,,,,,,,,,,\textbf{The MNIST Database},,http://yann.lecun.com/exdb/mnist/,,
online,h2ogithubdl,,H2O.ai Team,https://github.com/h2oai/h2o/tree/master/docs/deeplearning/DeepLearningRVignetteDemo,,,,,,,,,,,,,,,\textbf{H2O GitHub repository for Deep Learning documentation},,https://github.com/h2oai/h2o/tree/master/docs/deeplearning/DeepLearningRVignetteDemo,,\the\year
misc,h2osite,,H2O.ai Team,http://h2o.ai,,,,,,,H2O.ai,,,,,,,,\textbf{H2O website},,http://h2o.ai,,\the\year
misc,h2odocs,,H2O.ai Team,http://docs.h2o.ai,,,,,,,,,,,,,,,\textbf{H2O documentation},,http://docs.h2o.ai,,\the\year
misc,h2ogithubrepo,,H2O.ai Team,https://github.com/h2oai,,,,,,,,,,,,,,,\textbf{H2O GitHub Repository},,https://github.com/h2oai,,\the\year
