entry_type,citation_key,abstract,abstractnote,address,annote,archiveprefix,articleno,author,booktitle,collection,copyright,doi,edition,editor,eprint,file,howpublished,institution,isbn,issn,issue_date,journal,keywords,language,location,month,note,number,numpages,pages,pmcid,pmid,primaryclass,publisher,rights,series,shorttitle,title,type,url,urldate,volume,year
misc,omarah_making_2024,"IMF economists say that GenAI is a job killer, but also, a job enhancer. Supply chain leaders must design smarter jobs and train their people to use AI better.",,,,,,"O'Marah, Kevin",,,,,,,,,,,,,,Forbes,,en,,,accessed 2025-05-19,,,,,,,,,,,Making {Peace} {With} {GenAI} {As} {Job} {Killer},,https://www.forbes.com/sites/kevinomarah/2024/06/27/making-peace-with-gen-ai-as-job-killer/,,,
misc,appel_generative_2025,,,,,,,"Appel, Gil and Neelbauer, Juliana and Schweidel, David A.",,,,,,,,,,,,,,Harvard Business Review,,en,,,accessed 2025-05-19,,,,,,,,,,,Generative {AI} {Has} an {Intellectual} {Property} {Problem},,https://hbr.org/2023/04/generative-ai-has-an-intellectual-property-problem,,,
article,mccormick_exploring_2021,"Scientists are increasingly collecting and using large volumes of data for their
research. In many instances, these data do not have personal identifiers (ie,
are deidentified), and current federal regulations allow scientists to use these
data without asking patients’ permission. The goal of this study was to
explore public perspectives about the policies and process institutions have in
place for scientists to access, use, and share deidentified patient data. We
conducted 6 focus groups with a total of 37 participants, ages 18–76.
Most participants were not surprised that scientists accessed and used
deidentified personal information for research, and were supportive of this
practice. That said, transparency was important to them. Participants wanted to
know when their data were accessed, for what purpose, and by whom, and they
supported establishment of an advisory council or group with responsibility for
deciding what data were used, who was accessing those data, and whether data
could be shared. The trust people have in their medical institutions should be
considered fragile, and institutions should not take that trust for granted. How
institutions choose to govern patients’ data and what voices are included
in decisions about use and access are critical to maintaining public trust.",,,,,,"McCormick, Jennifer B and Hopkins, Margaret A",,,,10.1093/jamiaopen/ooab098,,,,,,,,2574-2531,,JAMIA Open,,,,November,,4,,ooab098,PMC8672933,34926998,,,,,Exploring public concerns for sharing and governance of personal health information,Exploring public concerns for sharing and governance of personal health information: a focus group study,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8672933/,2025-05-19,4,2021
article,schafer_data-driven_2023,"To leverage the opportunities provided by the Internet of Things (IoT), product-based companies are exploring new data-driven business opportunities. They may miss these same opportunities, however, owing to data-privacy challenges. These challenges start with the customers of product-based companies, extend to the wider business ecosystem, and continue with the companies themselves. This article identifies 12 data-privacy challenges and introduces 12 measures to address them. These include intuitive recommendations, such as enabling cross-product consent collection, as well as less intuitive measures, such as fostering a can-do attitude in legal units, closing the gap between legal and business initiatives, or implementing a clear process for well-reasoned risk-taking. The following four principles were found to support companies in implementing these measures: (1) letting privacy and data-driven business go hand in hand, (2) putting customers first and turning their privacy preferences into opportunities, (3) aligning risk-management activities with the process of digital service development, and (4) using technology to professionalize legal processes.",,,,,,"Schäfer, Fabian and Gebauer, Heiko and Gröger, Christoph and Gassmann, Oliver and Wortmann, Felix",,,,10.1016/j.bushor.2022.10.002,,,,,,,,0007-6813,,Business Horizons,"Data privacy, Data sharing, Data-driven business, Digital services, Privacy principles, Risk management",,,July,,4,,493--504,,,,,,,Data-driven business and data privacy,Data-driven business and data privacy: {Challenges} and measures for product-based companies,,https://www.sciencedirect.com/science/article/pii/S0007681322001288,2025-05-19,66,2023
article,seh_healthcare_2020,"The Internet of Medical Things, Smart Devices, Information Systems, and Cloud Services have led to a digital transformation of the healthcare industry. Digital healthcare services have paved the way for easier and more accessible treatment, thus making our lives far more comfortable. However, the present day healthcare industry has also become the main victim of external as well as internal attacks. Data breaches are not just a concern and complication for security experts; they also affect clients, stakeholders, organizations, and businesses. Though the data breaches are of different types, their impact is almost always the same. This study provides insights into the various categories of data breaches faced by different organizations. The main objective is to do an in-depth analysis of healthcare data breaches and draw inferences from them, thereby using the findings to improve healthcare data confidentiality. The study found that hacking/IT incidents are the most prevalent forms of attack behind healthcare data breaches, followed by unauthorized internal disclosures. The frequency of healthcare data breaches, magnitude of exposed records, and financial losses due to breached records are increasing rapidly. Data from the healthcare industry is regarded as being highly valuable. This has become a major lure for the misappropriation and pilferage of healthcare data. Addressing this anomaly, the present study employs the simple moving average method and the simple exponential soothing method of time series analysis to examine the trend of healthcare data breaches and their cost. Of the two methods, the simple moving average method provided more reliable forecasting results.",,,,,,"Seh, Adil Hussain and Zarour, Mohammad and Alenezi, Mamdouh and Sarkar, Amal Krishna and Agrawal, Alka and Kumar, Rajeev and Ahmad Khan, Raees",,,,10.3390/healthcare8020133,,,,Full Text:C\:\\Users\\st3\\Zotero\\storage\\8TC5JV9I\\Seh et al. - 2020 - Healthcare Data Breaches Insights and Implication.pdf:application/pdf,,,,2227-9032,,Healthcare,,,,May,,2,,133,PMC7349636,32414183,,,,,Healthcare {Data} {Breaches},Healthcare {Data} {Breaches}: {Insights} and {Implications},,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7349636/,2025-05-19,8,2020
article,ning_generative_2024,"The widespread use of Chat Generative Pre-trained Transformer (known as ChatGPT) and other emerging technology that is powered by generative artificial intelligence (GenAI) has drawn attention to the potential ethical issues they can cause, especially in high-stakes applications such as health care, but ethical discussions have not yet been translated into operationalisable solutions. Furthermore, ongoing ethical discussions often neglect other types of GenAI that have been used to synthesise data (eg, images) for research and practical purposes, which resolve some ethical issues and expose others. We did a scoping review of the ethical discussions on GenAI in health care to comprehensively analyse gaps in the research. To reduce the gaps, we have developed a checklist for comprehensive assessment and evaluation of ethical discussions in GenAI research. The checklist can be integrated into peer review and publication systems to enhance GenAI research and might be useful for ethics-related disclosures for GenAI-powered products and health-care applications of such products and beyond.",,,,,,"Ning, Yilin and Teixayavong, Salinelat and Shang, Yuqing and Savulescu, Julian and Nagaraj, Vaishaanth and Miao, Di and Mertens, Mayli and Ting, Daniel Shu Wei and Ong, Jasmine Chiat Ling and Liu, Mingxuan and Cao, Jiuwen and Dunn, Michael and Vaughan, Roger and Ong, Marcus Eng Hock and Sung, Joseph Jao-Yiu and Topol, Eric J and Liu, Nan",,,,10.1016/S2589-7500(24)00143-2,,,,,,,,2589-7500,,The Lancet Digital Health,,,,November,,11,,e848--e856,,,,,,,Generative artificial intelligence and ethical considerations in health care,Generative artificial intelligence and ethical considerations in health care: a scoping review and ethics checklist,,https://www.sciencedirect.com/science/article/pii/S2589750024001432,2025-05-19,6,2024
article,mcgenity_artificial_2024,"Ensuring diagnostic performance of artificial intelligence (AI) before introduction into clinical practice is essential. Growing numbers of studies using AI for digital pathology have been reported over recent years. The aim of this work is to examine the diagnostic accuracy of AI in digital pathology images for any disease. This systematic review and meta-analysis included diagnostic accuracy studies using any type of AI applied to whole slide images (WSIs) for any disease. The reference standard was diagnosis by histopathological assessment and/or immunohistochemistry. Searches were conducted in PubMed, EMBASE and CENTRAL in June 2022. Risk of bias and concerns of applicability were assessed using the QUADAS-2 tool. Data extraction was conducted by two investigators and meta-analysis was performed using a bivariate random effects model, with additional subgroup analyses also performed. Of 2976 identified studies, 100 were included in the review and 48 in the meta-analysis. Studies were from a range of countries, including over 152,000 whole slide images (WSIs), representing many diseases. These studies reported a mean sensitivity of 96.3\% (CI 94.1–97.7) and mean specificity of 93.3\% (CI 90.5–95.4). There was heterogeneity in study design and 99\% of studies identified for inclusion had at least one area at high or unclear risk of bias or applicability concerns. Details on selection of cases, division of model development and validation data and raw performance data were frequently ambiguous or missing. AI is reported as having high diagnostic accuracy in the reported areas but requires more rigorous evaluation of its performance.",,,,,,"McGenity, Clare and Clarke, Emily L. and Jennings, Charlotte and Matthews, Gillian and Cartlidge, Caroline and Freduah-Agyemang, Henschel and Stocken, Deborah D. and Treanor, Darren",,,2024 The Author(s),10.1038/s41746-024-01106-8,,,,,,,,2398-6352,,npj Digital Medicine,"Medical imaging, Pathogenesis",en,,May,Publisher: Nature Publishing Group,1,,1--19,,,,,,,Artificial intelligence in digital pathology,Artificial intelligence in digital pathology: a systematic review and meta-analysis of diagnostic test accuracy,,https://www.nature.com/articles/s41746-024-01106-8,2025-05-19,7,2024
misc,DSIT_AI,,,,,,,"{UK Department for Science, Innovation and Technology}",,,,,,,,,\url{https://https://www.gov.uk/government/news/prime-minister-sets-out-blueprint-to-turbocharge-ai},,,,,,,,,,,,,,,,,,,,,Prime Minister sets out blueprint to turbocharge AI,,,,,2025
article,NIST_RMF_ai_2021,,,,,,,,,,,,,,,,,,,,,NIST,,en,,July,Last Modified: 2025-05-05T13:16-04:00,,,,,,,,,,,{AI} {Risk} {Management} {Framework},,https://www.nist.gov/itl/ai-risk-management-framework,2025-05-16,,2021
misc,levene_life_2024,"This work presents a life cycle for trustworthy and safe artificial intelligence systems (TAIS). We consider the application of a risk management framework (RMF) in the TAI life cycle, and how this affects the choices made during the various phases of AI system development. The emerging requirements for AI systems go beyond the traditional software engineering (SE) development cycle of design, develop and deploy (DDD), where test, evaluation, verification and validation (TEVV) plays a crucial role. In particular, the additional challenge in SE is that AI systems are, in general: (i) data-driven, (ii) can learn and (iii) are adaptive. Moreover, considerations of the impact of AI systems on users and wider society are essential to their trustworthy and safe deployment. In order to achieve a TAIS we also consider the measurement aspect, which manifests itself in the specification of quantifiable metrics capturing both technical and socio-technical principles of TAI that allow us to assess the trustworthiness of an AI system. The TAI life cycle is an iterative and continuous process, so that the AI system being developed is evolving and corrective action can be taken to deal with arising issues at any stage of the life cycle.",,,,,,"Levene, M. and Adel, T. and Alsuleman, M. and George, I. and Krishnadas, P. and Lines, K. and Luo, Y. and Smith, I. and Duncan, P.",,,,,,,,Full Text PDF:C\:\\Users\\st3\\Zotero\\storage\\PCKX6P47\\Levene et al. - 2024 - A Life Cycle for Trustworthy and Safe Artificial I.pdf:application/pdf;Snapshot:C\:\\Users\\st3\\Zotero\\storage\\CY6NI3LR\\9995.html:text/html,,,,,,,,en,,April,ISSN: 1754-2960,,,,,,,,,,,A {Life} {Cycle} for {Trustworthy} and {Safe} {Artificial} {Intelligence} {Systems},Report/{Guide},https://doi.org/10.47120/npl.MS57,2025-05-16,,2024
