entry_type,citation_key,address,author,booktitle,editor,institution,journal,month,note,number,organization,pages,publisher,title,volume,year
article,fair_washing,,"A{\""\i}vodji, Ulrich and Arai, Hiromi and Fortineau, Olivier and Gambs, S{\'e}bastien and Hara, Satoshi and Tapp, Alain",,,,arXiv preprint arXiv:1901.09749,,URL: \url{https://arxiv.org/pdf/1901.09749.pdf},,,,,Fairwashing: the {R}isk of {R}ationalization,,2019
inproceedings,modeltracker,,"Amershi, Saleema and Chickering, Max and Drucker, Steven M. and Lee, Bongshin and Simard, Patrice and Suh, Jina",Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,,,,,URL: \url{https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/amershi.CHI2015.ModelTracker.pdf},,ACM,337--346,,Modeltracker: {R}edesigning {P}erformance {A}nalysis {T}ools for {M}achine {L}earning,,2015
inproceedings,grad_attr,,"Ancona, Marco and Ceolini, Enea and Oztireli, Cengiz and Gross, Markus",6th International Conference on Learning Representations (ICLR 2018),,,,,URL: \url{https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/249929/Flow_ICLR_2018.pdf},,,,,Towards {B}etter {U}nderstanding of {G}radient-based {A}ttribution {M}ethods for {D}eep {N}eural {N}etworks,,2018
article,angwin16,,Julia Angwin and Jeff Larson and Surya Mattu and Lauren Kirchner,,,,ProPublica,,URL: \url{https://www.propublica.org/article/machine-bias-risk-assessments-in-criminal-sentencing},,,,,{M}achine {B}ias: {T}here's {S}oftware {U}sed {A}cross the {C}ountry to {P}redict {F}uture {C}riminals. {A}nd {I}t's {B}iased {A}gainst {B}lacks.,,2016
article,ale_plot,,"Apley, Daniel W.",,,,arXiv preprint arXiv:1612.08468,,URL: \url{https://arxiv.org/pdf/1612.08468.pdf},,,,,Visualizing the {E}ffects of {P}redictor {V}ariables in {B}lack {B}ox {S}upervised {L}earning {M}odels,,2016
book,fairmlbook,,Solon Barocas and Moritz Hardt and Arvind Narayanan,,,,,,URL: \url{http://www.fairmlbook.org},,,,fairmlbook.org,Fairness and {M}achine {L}earning,,2019
article,dt_surrogate2,,Osbert Bastani and Carolyn Kim and Hamsa Bastani,,,,arXiv preprint arXiv:1705.08504,,URL: \url{https://arxiv.org/pdf/1705.08504.pdf},,,,,Interpreting {B}lackbox {M}odels via {M}odel {E}xtraction,,2017
inproceedings,viper,,"Bastani, Osbert and Pu, Yewen and Solar-Lezama, Armando",Advances in Neural Information Processing Systems,,,,,URL: \url{http://papers.nips.cc/paper/7516-verifiable-reinforcement-learning-via-policy-extraction.pdf},,,2494--2504,,Verifiable {R}einforcement {L}earning {V}ia {P}olicy {E}xtraction,,2018
article,dt_surrogate1,,Mark W. Craven and Jude W. Shavlik,,,,Advances in Neural Information Processing Systems,,URL: \url{http://papers.nips.cc/paper/1152-extracting-tree-structured-representations-of-trained-networks.pdf},,,,,Extracting {T}ree-{S}tructured {R}epresentations of {T}rained {N}etworks,,1996
article,been_kim1,,Finale Doshi-Velez and Been Kim,,,,arXiv preprint arXiv:1702.08608,,URL: \url{https://arxiv.org/pdf/1702.08608.pdf},,,,,Towards a {R}igorous {S}cience of {I}nterpretable {M}achine {L}earning,,2017
inproceedings,dwork2012fairness,,"Dwork, Cynthia and Hardt, Moritz and Pitassi, Toniann and Reingold, Omer and Zemel, Richard",Proceedings of the 3rd Innovations in Theoretical Computer Science Conference,,,,,URL: \url{https://arxiv.org/pdf/1104.3913.pdf},,ACM,214--226,,Fairness {T}hrough {A}wareness,,2012
inproceedings,feldman2015certifying,,"Feldman, Michael and Friedler, Sorelle A. and Moeller, John and Scheidegger, Carlos and Venkatasubramanian, Suresh",Proceedings of the 21\textsuperscript{st} ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,,,,,URL: \url{https://arxiv.org/pdf/1412.3756.pdf},,ACM,259--268,,Certifying and {R}emoving {D}isparate {I}mpact,,2015
article,flores2016false,,"Flores, Anthony W. and Bechtel, Kristin and Lowenkamp, Christopher T.",,,,Fed. Probation,,URL: \url{https://bit.ly/2Gesf9Y},,,38,HeinOnline,"False {P}ositives, {F}alse {N}egatives, and {F}alse {A}nalyses: {A} {R}ejoinder to {M}achine {B}ias: {T}here's {S}oftware {U}sed {A}cross the {C}ountry to {P}redict {F}uture {C}riminals. {A}nd {I}t's {B}iased against {B}lacks",80,2016
article,friedler2019assessing,,"Friedler, Sorelle A. and Roy, Chitradeep Dutta and Scheidegger, Carlos and Slack, Dylan",,,,arXiv preprint arXiv:1902.03501,,URL: \url{https://arxiv.org/pdf/1902.03501.pdf},,,,,{A}ssessing the {L}ocal {I}nterpretability of {M}achine {L}earning {M}odels,,2019
book,esl,New York,Jerome Friedman and Trevor Hastie and Robert Tibshirani,\textit{The Elements of Statistical Learning},,,,,URL: \url{https://web.stanford.edu/~hastie/ElemStatLearn/printings/ESLII\_print12.pdf},,,,Springer,\textbf{The Elements of Statistical Learning},,2001
article,gilpin2018explaining,,Leilani H. Gilpin and David Bau and Ben Z. Yuan and Ayesha Bajwa and Michael Specter and Lalana Kagal,,,,arXiv preprint arXiv:1806.00069,,URL: \url{https://arxiv.org/pdf/1806.00069.pdf},,,,,Explaining {E}xplanations: {A}n {A}pproach to {E}valuating {I}nterpretability of {M}achine {L}earning,,2018
article,ice_plots,,Alex Goldstein and Adam Kapelner and Justin Bleich and Emil Pitkin,,,,Journal of Computational and Graphical Statistics,,URL: \url{https://arxiv.org/pdf/1309.6392.pdf},1,,,,Peeking {I}nside the {B}lack {B}ox: {V}isualizing {S}tatistical {L}earning with {P}lots of {I}ndividual {C}onditional {E}xpectation,24,2015
misc,gopinathan1998fraud,,"Gopinathan, Krishna M. and Biafore, Louis S. and Ferguson, William M. and Lazarus, Michael A. and Pathria, Anu K. and Jost, Allen",,,,,October~6,"US Patent 5,819,226. URL: \url{https://patents.google.com/patent/US5819226A}",,,,Google Patents,Fraud {D}etection using {P}redictive {M}odeling,,1998
article,gosiewska2019safe,,"Gosiewska, Alicja and Gacek, Aleksandra and Lubon, Piotr and Biecek, Przemyslaw",,,,arXiv preprint arXiv:1902.11035,,URL: \url{https://arxiv.org/pdf/1902.11035v1.pdf},,,,,S{A}{F}{E} {M}{L}: {S}urrogate {A}ssisted {F}eature {E}xtraction for {M}odel {L}earning,,2019
article,guidotti2018survey,,"Guidotti, Riccardo and Monreale, Anna and Ruggieri, Salvatore and Turini, Franco and Giannotti, Fosca and Pedreschi, Dino",,,,ACM Computing Surveys (CSUR),,URL: \url{https://arxiv.org/pdf/1802.01933.pdf},5,,93,ACM,{A} {S}urvey of {M}ethods for {E}xplaining {B}lack {B}ox {M}odels,51,2018
inproceedings,art_and_sci,,"Hall, Patrick",KDD '19 XAI Workshop Proceedings,,,,,URL: \url{https://arxiv.org/pdf/1810.02909.pdf},,,,,On the {A}rt and {S}cience of {M}achine {L}earning {E}xplanations,,2019
inproceedings,hardt2016equality,,"Hardt, Moritz and Price, Eric and Srebro, Nati and others",Advances in Neural Information Processing Systems,,,,,URL: \url{http://papers.nips.cc/paper/6374-equality-of-opportunity-in-supervised-learning.pdf},,,3315--3323,,Equality of {O}pportunity in {S}upervised {L}earning,,2016
article,lime-sup,,Linwei Hu and Jie Chen and Vijayan N. Nair and Agus Sudjianto,,,,arXiv preprint arXiv:1806.00663,,URL: \url{https://arxiv.org/ftp/arxiv/papers/1806/1806.00663.pdf},,,,,Locally {I}nterpretable {M}odels and {E}ffects {B}ased on {S}upervised {P}artitioning ({LIME-SUP}),,2018
